id	name	artist	genres	artist_followers	artist_popularity	markets	album	released_date	album_popularity	duration	explicit	popularity
2LxBK38Ol3qwD4laifP3D1	Tengo Motivos	Junior H	musica mexicana,sierreno,corridos tumbados,nueva musica mexicana,sad sierreno	4654291	85	184	Atrapado en un Sueño (Deluxe)	2020-06-26	55	188022	True	64
43UQAAZQB9eVlZhdz5pnt1	Me Estoy Enamorando - en Vivo	Marca MP	musica mexicana,sierreno,corridos tumbados,corrido,nueva musica mexicana,sad sierreno	1570996	72	184	Desde El Cantón (en Vivo)	2020-11-26	55	173663	False	64
1fXKSGhgHn8NBnVbTf5tLb	1022-比尔的歌	Bomb比尔	chinese viral pop	12441	46	184	1022-比尔的歌	2020-11-06	46	195813	False	58
7ssVARiCxa9KentfZXhZEr	Tèn Tèn Girls! (feat. Tlinh & Suboi)	RAP VIỆT,tlinh,Suboi	indie viet,vietnamese hip hop,v-pop,vietnamese melodic rap	950908,241113,123228	48,56,36	184	Rap Việt Tập 16	2020-11-16	39	189861	False	35
4kIpBfvK44bxqX7zo8K1oP	시작	Gaho	korean pop,k-pop	322548	55	184	ITAEWON CLASS (Original Television Soundtrack) Pt.2	2020-02-01	52	202440	False	64
34SZJBFFsFjeVWYqPLYJh7	交界 - 伴奏	陈嘉杰		268	20	184	交界	2020-06-06	26	277416	False	36
4BGkSCrjiLao1bpibNptTD	四季予你	程響	chinese viral pop,mainland chinese pop	16619	43	184	四季予你	2020-12-19	48	248527	False	59
0BOVjtn27VIF8Ph0CSIKyG	WAYO	BANG YE DAM		182421	45	184	WAYO	2020-06-05	51	205164	False	63
3omvXShuRPM3zbDpWYqf5g	MORE & MORE	TWICE	k-pop,k-pop girl group	15860351	81	182	MORE & MORE	2020-06-01	58	199653	False	67
0OqBueBAvBbWvrN51BvitD	Loop	Coldzy,VCC Toska,VCC Left Hand	vietnamese trap,vietnamese hip hop,vietnamese melodic rap	25933,953,4670	35,19,29	184	Loop	2020-06-10	24	249204	True	35
7wPxJI2USDm6g4jcBMLgmJ	Cứ Thế Rời Xa	Yến Tattoo		85	23	184	Cứ Thế Rời Xa	2020-10-09	25	248685	False	36
3AzjcOeAmA57TIOr9zF1ZW	Physical	Dua Lipa	uk pop,pop,dance pop	37668721	88	180	Future Nostalgia	2020-03-27	81	193829	False	77
516aKioGJv1BmriFhzVrDX	Vapor Rub	thuy	indie r&b,chill r&b,pop,r&b	142413	64	184	Vapor Rub	2020-03-23	45	176000	False	57
3d7sIXwLSG9xI50e08dMKB	谪仙	伊格赛听,叶里	chinese viral pop,zhongguo feng	5955,3715	38,35	184	谪仙	2020-02-08	37	178318	False	49
21yCOhgaDMc0KEtxhZHTbI	blue	keshi	chill r&b,pop	2069139	76	184	bandaids	2020-03-24	67	178600	False	67
70o4DP6wfYz50ppdLCBxuv	Đếm Đêm	Minh Đinh,Hacrayon	indie viet	17241,111	31,18	184	Đếm Đêm	2020-09-22	23	217861	False	34
2BL4Lw90q6c0scETBBNBQD	Nơi Em Là Bình Yên	Tóc Tiên,Binz	vietnamese hip hop,v-pop	164790,802483	48,52	184	Nơi Em Là Bình Yên	2020-07-30	23	203389	False	35
1qjSj1bt7ta3RINKKWVrJP	808 Dollar Bills	Low G	vietnamese hip hop	466894	56	184	808 Dollar Bills	2020-12-30	22	199265	False	34
