id	name	genres	followers	popularity
4prEOT87LTX2otr9v0xEUf	Aureo Deni		603	3
0X2BH1fck6amBIoJhDVmmJ	Ellie Goulding	dance pop, edm, electropop, indietronica, metropopolis, pop, uk pop	11414426	79
4hnr2uw0V06Ml1QnMT0jOz	Gourmae'		8	7
3iCZYARRMSiUfE5NDdcIc5	Substation Bliss		86	23
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	dance pop, pop, uk pop	37640565	88
4r63FhuTkUYltbVAg5TQnk	DaBaby	north carolina hip hop, rap, trap	10330455	82
4GvEc3ANtPPjt1ZJllr5Zl	Bazzi	dance pop, electropop, pop	5247079	73
4M7XfX7J0sw520nrZXkbpL	PTK	musica capixaba, rap capixaba	10171	33
62T0up856eHZQ8BE6V6fJs	Vk Mac	rap capixaba, trap brasileiro, trap carioca	53253	48
460m2YG30duLCuHwFdiLgX	Yunk Vino	trap brasileiro	270928	64
6DAQjwwMGZ9QgqHhIkU7H0	Sentino	polish hip hop, polish viral rap	141060	59
5y3UtsrnWjxK7BmOjjMhzC	NOIR40		2802	30
2AGocELhzAN6io1Eqt30ti	Yungnsad		4135	29
0wov43DAhPIa2p4zFPuh7k	SADFACE		999	16
4fdCGYM7dtJLa3LvR1ccto	Gabriela Rocha	adoracao, brazilian gospel	4106281	67
7bZpYWk0ZZN7CkOeXbAY0Z	Potter Payper	uk hip hop	131917	57
6O1vRHWVGKJTnWuJmItnsx	Rio Da Yung Og	detroit hip hop, flint hip hop	152271	63
5pBMkZNIlbGTH3hrsQJqAa	Mc Kevin	funk carioca, funk ostentacao, funk paulista	5068263	72
0QHeVlSNj20H73pBvefBNZ	Mc Vk		1168	43
3J0t4JNgTyjwqRaXo5pNlW	Haitam	rap df, trap brasileiro	21137	44
5FxD8fkQZ6KcsSYupDVoSO	Omar Apollo	bedroom pop, bedroom soul, pop	682629	75
7kayouvgnQ4ZUINVw9WN1u	DJLEO		137	5
4rTv3Ejc7hKMtmoBOK1B4T	Ali Gatie	canadian hip hop, pop	1990146	71
4FtXRHtKUSEQ1lH5Kis1mm	钱萱帆		0	12
7z5WFjZAIYejWy0NI5lv4T	Dan + Shay	contemporary country, country, country road, pop	2805227	73
1UTPBmNbXNTittyMJrNkvw	Blake Shelton	contemporary country, country, country road, oklahoma country	6780836	74
78t5ObID5m0cLVrpZernKV	Ceschi	abstract hip hop, underground rap	17392	32
6kGFWMUfZeRMJ3myYDq6yK	Alvaro On The Beat		2	32
0eHQ9o50hj6ZDNBt6Ys1sD	Yandel	latin hip hop, reggaeton, reggaeton flow, trap latino, urbano latino	6420179	75
2R21vXR83lH98kGeO99Y66	Anuel AA	reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino	25443168	88
6O1vRHWVGKJTnWuJmItnsx	Rio Da Yung Og	detroit hip hop, flint hip hop	152271	63
0qSX3s5pJnAlSsgsCne8Cz	Brett Eldredge	contemporary country, country, country road, modern country rock	1424179	72
3EPBVmGdnMsmkIOWHkOEJU	yeezuz2020	czech hip hop	1751	24
3FgZ0agsmQ50Y9VflHdcio	Rohony	czech hip hop, czsk hip hop	1580	26
7pbijUBmXdie5ChABSM4F7	Smack	czech hip hop, czsk hip hop	62119	53
6oE62Fa2YT9CoXuHDGUqYJ	Damjonboi	detroit hip hop, detroit trap	32950	37
2Z0lRIqr997lIUiPtrpKCr	Matheus & Kauan	arrocha, pop nacional, sertanejo pop, sertanejo universitario	10441676	78
2qWK8K2Jfh67UqtwY8tCW6	YSY A	argentine hip hop, trap argentino	1372197	78
6pJPxDgaE0H343SrASnY9J	Yesan 雪山		2110	58
3win9vGIxFfBRag9S63wwf	Bailey Zimmerman	contemporary country	293141	73
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	art pop, electropop, pop	73255691	89
3Nrfpe0tUJi4K4DXYWgMUX	BTS	k-pop, k-pop boy group	58628523	92
63yrD80RY3RNEM2YDpUpO8	Melanie Martinez	alt z, electropop, pop	15780760	78
2nSO7JYDbJrYbJmP39qUzj	Binz	v-pop, vietnamese hip hop	801849	52
5UNWQJdUbO8Gbg9Qn3r52M	Touliver	v-pop	164985	49
3LVqjXvcYbwMZc4vt4wKpM	Bức Tường	indie viet, mainland se asia metal, rock viet	12482	24
4rBvN6UImNzcY5abMKdAuw	Tùng Dương	rock viet	9787	31
2XtMx7EHHODQSeBzDCBec9	Bùi Lan Hương	v-pop	41703	38
4rBvN6UImNzcY5abMKdAuw	Tùng Dương	rock viet	9787	31
0DxYes5zk3LMaliyhYdXHN	Tran Thu Ha	v-pop, vietnamese pop, vietnamese singer-songwriter	95016	35
4rBvN6UImNzcY5abMKdAuw	Tùng Dương	rock viet	9787	31
2aQnC3DbZB9GbauvhAw7ve	AMEE	v-pop	822859	53
7sI2avJ3MyFstC9oKNM7py	Han Sara	v-pop	112557	38
44ZNcW1ZSGB9oqX1ALnriH	Xesi		4173	36
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85693637	90
4yvcSjfu4PC0CYQyLy4wSq	Glass Animals	gauze pop, indietronica, shiver pop	3527907	79
1uU7g3DNSbsu0QjSEqZtEd	Masked Wolf	australian hip hop, viral rap	628461	68
757aE44tKEUQEqRuT6GnEB	Roddy Ricch	melodic rap, rap, trap	8681683	81
4kYSro6naA4h99UJvo89HB	Cardi B	dance pop, pop, rap	20778845	81
181bsRPaVXVlUKXrxwZfHK	Megan Thee Stallion	dance pop, houston rap, pop, rap, trap queen	7303556	80
3eCd0TZrBPm2n9cDG6yWfF	DEAN	k-pop, korean r&b	1290596	63
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85693637	90
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	canadian pop, pop	68200376	91
0VRj0yCOv2FXJNP47XQnx5	Quavo	atl hip hop, hip hop, melodic rap, rap, southern hip hop, trap	6138389	81
4r63FhuTkUYltbVAg5TQnk	DaBaby	north carolina hip hop, rap, trap	10330455	82
757aE44tKEUQEqRuT6GnEB	Roddy Ricch	melodic rap, rap, trap	8681683	81
5IH6FPUwQTxPSXurCrcIov	Alec Benjamin	alt z, electropop, pop	3988845	77
7uaIm6Pw7xplS8Dy06V6pT	Trevor Daniel	melodic rap, pop, pop rap, viral rap	727282	67
6T5tfhQCknKG4UnH90qGnz	DNCE	dance pop, edm, pop, post-teen pop	4348035	70
3jHBxvZ9gbBkZ17wKUqVsO	Kent Jones	miami hip hop, viral trap	108719	48
246dkjvS1zLTtiykXe5h60	Post Malone	dfw rap, melodic rap, rap	39062300	88
1URnnhqYAYcrqrcwql10ft	21 Savage	atl hip hop, rap	12255880	94
3aY1Ok8MvbCZVay3iAF008	MT		8	9
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock	4208885	75
7bMi7pddqeilAI6V9LWZaW	Steve Miller	soft rock	4734	28
7IADlwb8drI8AC1fpbvbla	NENNO		257	17
0TrF0KfMTDdblcBPGqKpM5	Welka		1408	19
5nVNKHqilQDyBRu2CUeHhD	Sugar Boy	greek trap	1771	17
4PzTx7UCUfGhtNl3KnMjej	Sadi	german trap	3169	33
0L3wSwaen0BHVd3KRi9hQD	Mahino		3373	26
1zAu7IVjeWAssmFtncnw36	Jamario Turner		458	3
0yDkCJitdwYja1tik0oyj7	DC the Don		2	2
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock	4208885	75
3bTAaMx9nf237AkBnGw3vL	Jeff Lynne	art rock, beatlesque, classic uk pop, glam rock	188989	45
6DbJi8AcN5ANdtvJcwBSw8	Ringo Starr	album rock, beatlesque, blues rock, bubblegum pop, classic rock, country rock, folk rock, mellow gold, rock, rock drums, soft rock	827734	52
6QEKXJs8gQCiyBq5L8knco	Linda McCartney	classic uk pop	17725	51
6nWxhgUeoBkZBXaPLweDIa	Oh Babar	magyar trap	542	17
7uNtZEJFZlwI9HGynbjdT3	Who'd a Thunk?		751	17
1W7FNibLa0O0b572tB2w7t	Pink Sweat$	bedroom soul, chill r&b, pop	1521416	70
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock	4208885	75
7bMi7pddqeilAI6V9LWZaW	Steve Miller	soft rock	4734	28
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock	4208885	75
3bTAaMx9nf237AkBnGw3vL	Jeff Lynne	art rock, beatlesque, classic uk pop, glam rock	188989	45
1fTMfqHcXtTa0G42Wu7qH5	Nawab	desi pop, punjabi pop	1048793	51
65QlWmtWjcK3CPBung0ATT	Rimzee	uk drill, uk hip hop	30155	54
2Ca26gzXXfZx4RIOied3tN	DJ Matafan		7459	35
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock	4208885	75
7CoztuqPHzV1Ijf4bmCYVj	The Frog Chorus		59	31
7B5aSrFmMePQwyoQXzsHlr	乔雨彩		0	12
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	album rock, art rock, beatlesque, classic rock, folk rock, mellow gold, rock, soft rock	4208885	75
03V9WrjgtAzgRBFWgPHS8P	The Finchley Frogettes		32	7
5MEewKjCN4Dw20OFV2IGMo	Los Primos del Este	corrido, corridos tumbados, nueva musica mexicana, sad sierreno	125754	49
6V4op9hSl7UD0wPnY4MEKP	谢柔		0	12
255k1BjZsGFCdnjVFDCV6z	尹礼桐		0	12
2iojnBLj0qIMiKPvVhLnsH	Trey Songz	dance pop, hip pop, pop, r&b, southern hip hop, trap, urban contemporary	6961604	70
57LYzLEk2LcFghVwuWbcuS	Summer Walker	pop, r&b, rap	4384868	80
458A9GMXnBABn8n5qkmNsu	丁怡冰		0	12
6e14dV47cVGbpJqh1SNyFX	Edyta Gorniak	polish pop	67514	44
2HVTN5ErM8WHHkZ07jLL3w	Krzysztof Antkowiak		1175	38
7mD8DNhQrjw6SmuWoMTlo8	Benjai	chutney, soca, trinidadian reggae	15134	28
76cSIdfkmHbO1ObyHZzfxx	Northend Bastard		4	3
7KVJCU4z5L4EUHILL8aMxR	Leo Santana	arrocha, axe, funk carioca, pagode baiano, pop nacional	1620551	67
5Lv2GUVwqmQBPwrTrxucE5	Os Barões Da Pisadinha	arrocha, forro, piseiro	6529744	70
1mfDfLsMxYcOOZkzBxvSVW	Cole Swindell	contemporary country, country, country road, modern country rock	1948117	68
5Ib3D8UtLdYZjhVNWzwfoH	Nguyen Ha	indie viet, v-pop, vietnamese singer-songwriter	175533	42
3Tehj7YghQc7zH0I1faGc6	BigDaddy	v-pop, vietnamese hip hop	111223	42
2XKlSkrslCs0egLOvSB4Ul	Emily		3259	33
5Cf9nBDNc99UFkq9Yqap7Q	Trung Quân	v-pop	412592	51
1L1VfizWn4DkFt602yD80U	ERIK	v-pop	744733	49
3l0CmX0FuQjFxr8SK7Vqag	Clairo	bedroom pop, indie pop, pop	3625800	76
2ZRQcIgzPCVaT9XKhXZIzh	Gryffin	dance pop, edm, pop, pop dance, tropical house	877707	72
67MNhiAICFY6Pwc2YxCO0K	Elley Duhé	alt z, pop	366731	77
3IniCa6EijyZ3bsY0eTG3C	NCT 2020		412609	39
1qFy3FK37qaUCE2y2vWCak	Francis Goya	easy listening, rumba	27779	45
0cEVpgfIpUSsUKUMsRrhtZ	Mitch Rossell	contemporary country, country, country pop, country road, modern country rock	27758	51
4npEfmQ6YuiwW1GpUmaq3F	Ava Max	dance pop, pop	5719364	81
1bT7m67vi78r2oqvxrP3X5	Naughty Boy	dance pop, uk contemporary r&b	325347	62
2wY79sveU1sp5g7SokKOiI	Sam Smith	dance pop, pop, uk pop	21007377	89
6bmlMHgSheBauioMgKv2tn	Powfu	sad lo-fi, sad rap	1126158	72
35l9BRT7MXmM8bv2WDQiyB	beabadoobee	bedroom pop, bubblegrunge, indie pop, pop	1422851	74
5zctI4wO9XSKS8XwcnqEHk	Lil Mosey	melodic rap, rap, rap conscient, trap, vapor trap, viral rap	4875791	71
0Cp8WN4V8Tu4QJQwCN5Md4	BENEE	alt z, nz pop, pop	728647	67
6sHCvZe1PHrOAuYlwTLNH4	Gus Dapperton	bedroom pop, indie pop, indie poptimism	462645	61
6Sz9jchJpz8HyBTtkPvYDT	Khanh Phuong	v-pop	148306	31
4Uc8Dsxct0oMqx0P6i60ea	Conan Gray	bedroom pop, pop	7115557	81
6Sz9jchJpz8HyBTtkPvYDT	Khanh Phuong	v-pop	148306	31
7gOdHgIoIKoe4i9Tta6qdD	Jonas Brothers	boy band, dance pop, pop, post-teen pop	6650056	77
1l7ZsJRRS8wlW3WfJfPfNS	Christina Aguilera	dance pop, pop, post-teen pop	7273774	78
2feDdbD5araYcm6JhFHHw7	Labrinth	indie poptimism, pop	2599046	79
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	conscious hip hop, hip hop, rap, west coast rap	22276991	89
28ExwzUQsvgJooOI0X1mr3	Jay Rock	conscious hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop	1329318	72
6pF6MN603wSrisJcf7HS5v	Lonely God	modern indie pop	75531	59
3sLxtyKG3mxKppht02MTCQ	Warbly Jets	modern alternative rock	10739	33
4yiQZ8tQPux8cPriYMWUFP	Gwen Stefani	dance pop, pop	5685837	75
1UTPBmNbXNTittyMJrNkvw	Blake Shelton	contemporary country, country, country road, oklahoma country	6780836	74
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	dance pop, pop	44882523	88
5TbLOwv8BNnik3f03NZJlt	TOKYO’S REVENGE	meme rap, vapor trap, viral rap	443416	59
2C1jc9PayxcndWeVipy7qT	PHOAC		331	21
2eW2tkbjmWAhGbRh1FOlHz	Brooze	luxembourgian hip hop, luxembourgian pop	2669	25
4sUJacT7j1MhNTkxE71640	br0b3ar		3	1
4oYOJdSfiJHbhTa8hBEY63	C-Tar		1	1
1I6IYUQJ23qN1LTEiILtvj	Marco dos Anjos	viral pop brasileiro	2696	5
08F3Y3SctIlsOEmKd6dnH8	Yusuf / Cat Stevens	british folk, classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock	1624630	69
1SZwJYkX5jEm8xqZXSGXjj	iLLEOo	greek hip hop, greek trap	135391	47
6Sb8EHpZvyjSTT5KD9DjUZ	Ronnie Milsap	classic country pop, country, country rock, nashville sound	360626	54
4KUg2TUhWVbTiqFfY9U9Y3	Chico Dio		544	22
0dzTQwByGT2dn3GBgdEToM	D.O.N.E RD		0	2
4jKJcl7HTKV6FXKizgJiaY	BRUHMANEGOD	dark trap, scream rap	22723	48
10HxnlgewgvRWdyakhL0oJ	Young Sims		75	23
1Lq8drsK1KazOo2tk0yyFd	Vashish		2339	21
5M1WNwMrn23ziY0jqpWwSR	Fed Gein		11	9
3MBZ7cW7vbWlM9YMYaXE9n	20/20	power pop, pub rock, underground power pop	4427	19
2NzWRNaaLByHyI3wpuec8P	Jim Brickman	new age, new age piano	108748	58
0q3WqbRDZc8xmvBCgBGIkR	JB		31	23
4HzKw8XcD0piJmDrrPRCYk	Majid Jordan	canadian contemporary r&b, pop, r&b, trap soul	788805	67
3TVXtAsR1Inumwj472S9r4	Drake	canadian hip hop, canadian pop, hip hop, rap, toronto rap	69736933	97
3MBZ7cW7vbWlM9YMYaXE9n	20/20	power pop, pub rock, underground power pop	4427	19
3IJ21966TwNZI24MwZHMu4	Baby Tate	alternative r&b, escape room, pop, rap, trap queen, viral rap	239674	65
6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	contemporary country, country, country pop	250998	65
2Lnei3z9P4Trhtdgs2OvuS	令曼丽		1	12
49HlOY4gkHqsYG9GCuhkcc	Celeste	british soul	383898	62
1b170j0PpkgYWGHMPRsNEM	Achepe	mexican hip hop, rap underground mexicano	92045	45
4TNb6OInXahdseLnzAY1eL	Ringnes-Ronny	fotbollslatar, russelater	123390	61
2sG4zTOLvjKG1PSoOyf5Ej	Brandi Carlile	acoustic pop, folk, indie pop, lilith, modern folk rock, new americana	682375	65
7kplJl06UmldxLKseURAYi	Warren Zeiders		323289	65
7I6BcL7hpJB7DATY9uPXcH	四季音色		1360	33
4nkN1KhOzpMvFZIguCXGyA	Visionz2turnt		25329	18
3UkN1XeK2D4wD4uhtJx4vb	SUUNS	chamber psych, quebec indie	84852	37
0eCaQDYX15LcFZd0acXqvl	Karkaza		68	18
1Mxqyy3pSjf8kZZL4QVxS0	Frank Sinatra	adult standards, easy listening, lounge	5933504	83
2zNmlxTlRfyMAAifd2f71Q	amies	lo-fi beats	5216	54
3LVqjXvcYbwMZc4vt4wKpM	Bức Tường	indie viet, mainland se asia metal, rock viet	12482	24
4rBvN6UImNzcY5abMKdAuw	Tùng Dương	rock viet	9787	31
69bG9tC62d8oTFC9aTTosn	New West	toronto indie	130460	70
422RLznpwUa5FsQgnTlgUH	Great Good Fine Ok	hopebeat, indie poptimism, metropopolis, neo-synthpop, nyc pop	122885	51
5HGpLatsXUVatRVuaZAkaY	Emily Krueger		5873	27
6Sz9jchJpz8HyBTtkPvYDT	Khanh Phuong	v-pop	148306	31
0kmhJxhHqJNgG7hcAj7U6S	Rene		1500	24
1t20wYnTiAT0Bs7H1hv9Wt	EDEN	indie poptimism, pop	956064	64
6YJ4EgQzDfJnIHRbqIHAdD	Idealism	chillhop, lo-fi beats	162012	59
6GnCucI2uDaYj1j39GFxkn	F.R. David	europop, french synthpop, italian disco	68300	57
422RLznpwUa5FsQgnTlgUH	Great Good Fine Ok	hopebeat, indie poptimism, metropopolis, neo-synthpop, nyc pop	122885	51
