danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	genre
0.638	0.361	2	-12.71	1	0.0302	0.742	0.257	0.0979	0.465	132.004	4GJXwA1Ys8AcXDGmRkicRv	149375	4	chillhop
0.652	0.964	0	-11.356	1	0.0451	0.0386	0.343	0.639	0.935	126.919	2kxBz62oPFre9F5Vbd6K07	335410	4	dance rock
0.628	0.86	4	-3.511	0	0.0981	0.0884	0	0.179	0.704	176.439	1v4IocBiph7hhISLrTUb8f	284213	4	alternative metal
0.584	0.852	9	-6.749	1	0.107	0.116	2.52e-05	0.719	0.706	138.604	1fDFBivYrZYppjsPV0F23E	229640	4	acoustic blues
0.522	0.104	3	-13.349	1	0.0492	0.942	0	0.0895	0.294	71.914	78Os7xqEAQOIvYKjvaYunj	253103	1	alternative r&b
0.79	0.663	5	-6.791	1	0.0515	0.00227	0.89	0.0511	0.367	124.995	0nAuRe4M4bNyjsfXSBUZGk	394533	4	classic house
0.612	0.172	9	-14.409	0	0.0662	0.7	0	0.113	0.277	136.145	0yMfN3F5RwpTvvGTLe9YCW	251908	4	swedish singer-songwriter
0.558	0.375	3	-10.555	1	0.0275	0.846	0.861	0.375	0.184	107.888	00kdoJCOpAuG5m7eBMPaLH	436476	4	k-indie
0.514	0.345	6	-10.057	1	0.0314	0.411	1.32e-06	0.148	0.214	116.994	3Zgn02pgNXECF9i0vpAaN4	140467	4	electropop
0.609	0.551	10	-8.43	0	0.081	0.00618	0.000501	0.0634	0.964	127.019	5DWlFQh0sq7pY5MRjDH88g	243000	3	russian pop
0.438	0.291	5	-17.17	0	0.0481	0.812	0.825	0.898	0.078	170.146	59ZFmtkx5i0XUovH6raOBJ	154000	4	chillhop
0.345	0.625	2	-7.912	1	0.0469	0.0325	6.05e-06	0.745	0.566	129.354	4611nkfmcc1bCYRVqeSCHN	452107	4	album rock
0.455	0.956	8	-8.365	1	0.0797	0.0131	0.77	0.175	0.24	140.013	5KynwTUfUDazjzR4LgTe4q	289714	4	hard rock
0.5	0.957	8	-1.877	0	0.0873	0.0311	0	0.135	0.384	92.473	2QftY3tHCKxPhMAED4dWES	208958	4	vocaloid
0.714	0.804	10	-6.263	0	0.0618	0.00585	0.0285	0.0913	0.622	128.051	61nvh9DyVQ5At1QkjPBE4r	187585	4	melbourne bounce international
0.815	0.52	11	-6.753	1	0.0869	0.354	0.869	0.0827	0.863	94.024	0g1yb8SwBW4oPsEy1t4ugJ	270013	4	electro swing
0.721	0.798	5	-6.726	0	0.0405	0.4	0	0.0686	0.972	171.974	7hLMdZXOL5NpX7Lncqb8eo	141688	4	arrocha
0.882	0.896	1	-5.754	1	0.258	0.374	0	0.273	0.851	90.955	2blFjWGr603ReBmTLFTsAM	171560	4	colombian hip hop
0.74	0.758	0	-8.779	1	0.0336	0.00987	0.000386	0.04	0.845	123.982	7g6AViNyFjq6OJ6OP3InO5	471001	4	dance pop
0.433	0.824	7	-10.209	1	0.0324	0.0178	0.755	0.136	0.949	169.952	3PGDY79ILyxwBsjNmEiFAh	182973	4	corrosion
0.726	0.648	1	-7.336	1	0.0355	0.159	0.00533	0.127	0.97	124.638	1SYwwr6qnOYz4kYXZI4uFH	214813	4	album rock
0.52	0.146	6	-16.925	1	0.0347	0.9	0.463	0.166	0.0382	135.106	1GC2MJICE9d7KxNuaOTu2z	189452	4	alternative emo
0.68	0.888	9	-4.377	0	0.136	0.0688	0	0.118	0.633	95.014	4SrkrzWiFxEzMBOSOE5qGW	227885	4	k-pop
0.669	0.317	7	-12.914	0	0.0339	0.903	0.908	0.127	0.176	86.026	30wDf9wcWNVPkIsupupxmE	178605	4	chillhop
0.573	0.497	2	-10.738	1	0.0641	0.125	0	0.64	0.405	133.264	6w78eLPBj0fTq6jp3wUIRy	185696	4	blues rock
0.517	0.924	10	-4.063	1	0.0975	0.00403	0.307	0.369	0.498	128.127	5gyAm7BgB0d0I4RPK1zcn2	195280	4	german dance
0.632	0.767	2	-7.633	1	0.451	0.718	0	0.156	0.33	90.1	2nrWw9mH2R5IiNFRtcAkIK	163067	4	k-rap
0.597	0.273	2	-10.908	1	0.0326	0.756	0.825	0.108	0.0657	87.08	2RxeNHMALTssXRoEB63hDk	148965	4	chillhop
0.395	0.424	9	-6.581	1	0.0284	0.952	0.0052	0.0701	0.322	83.939	66YLc8VbZSm4FH9uauxlrs	201222	4	j-acoustic
0.753	0.621	8	-7.503	1	0.0518	0.144	0.01	0.074	0.637	126.004	3ZqgxQ8dBG11dQ5Khp9UvJ	449524	4	broken beat
0.8	0.597	5	-7.158	0	0.0553	0.0217	1.25e-06	0.12	0.521	100.028	2CM323yMMTIT0SqySUNYZ3	242413	4	ccm
0.595	0.284	1	-17.994	0	0.0907	0.628	0.801	0.0982	0.167	79.97	328mQNwzXrqQqirOVNlX0o	179000	4	chillhop
0.815	0.815	8	-3.406	1	0.0522	0.37	0	0.259	0.85	109.915	1hVpuxUQNk52N0s4UdMC1s	183787	4	norteno-sax
