id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
2xbI8Vmyv3TkpTdywpPyNw	0.638	0.6	1	-5.84	0	0.0438	0.114	0	0.187	0.0399	101.981	245604	4	rock
2AmEv442DGwSxMGZ9XEvBA	0.706	0.785	11	-7.666	0	0.041	0.00802	0.0319	0.195	0.636	105.893	247829	4	rock
7ycWLEP1GsNjVvcjawXz3z	0.854	0.569	5	-8.151	0	0.106	0.0609	0.0816	0.1	0.294	80.015	205040	4	rock
1ITQbrueGLl581a25XXm9c	0.599	0.363	7	-11.728	1	0.0315	0.333	0	0.243	0.648	79.456	213107	4	rock
2NlS7excDJeT9kAp0gVUtG	0.605	0.793	1	-6.351	0	0.036	0.0166	3.49e-06	0.122	0.761	149.0	154453	4	rock
3MKzACYNvmIBqo2Sl6GUxZ	0.464	0.642	5	-3.656	1	0.032	0.0189	0	0.0957	0.828	151.592	132732	4	rock
6C2PfemHQul77DVpnvuAIs	0.415	0.538	9	-12.71	0	0.0368	0.4	0.767	0.0674	0.449	95.121	170240	4	rock
36YCdzT57us0LhDmCYtrNE	0.738	0.885	9	-5.547	0	0.206	0.0133	0	0.0821	0.752	112.878	232880	4	rock
7ln08MFRmwpGgYzP7wzguC	0.464	0.642	5	-3.656	1	0.032	0.0189	0	0.0957	0.828	151.592	132732	4	rock
3uz0O62HqYoyRiWZjS61KK	0.479	0.847	0	-11.036	0	0.0984	0.00884	0.000206	0.144	0.317	90.654	228560	4	rock
3SpS1YrqjhPisiTsUlOXNy	0.504	0.908	5	-7.229	1	0.139	0.337	0	0.746	0.706	156.2	175013	4	rock
7zjEyeBsaw9gV0jofJLfOM	0.767	0.313	7	-12.059	1	0.0798	0.838	0	0.105	0.765	82.582	210907	4	rock
19bX4zmC2zDben2ldhoRB3	0.594	0.507	5	-6.141	0	0.0816	0.145	0.000871	0.132	0.137	159.729	218147	4	rock
1FKG2wgJ75wS9MFNVZFiWd	0.711	0.646	2	-5.444	0	0.225	0.0216	0	0.0921	0.778	160.931	131500	3	rock
5F40csF5DtKOGfEg8vuz1d	0.71	0.314	11	-10.666	0	0.082	0.000292	0.785	0.0857	0.401	129.124	193253	4	rock
4X5f3vT8MRuXF68pfjNte5	0.853	0.693	1	-6.87	1	0.275	0.0239	0	0.11	0.662	95.967	233787	4	rock
6WCeFNVAXUtNczb7lqLiZU	0.621	0.8	4	-7.284	0	0.0344	0.0263	1.51e-05	0.0591	0.968	149.91	235440	4	rock
2ydUT1pFhuLDnouelIv4WH	0.41	0.959	9	-4.563	1	0.0869	0.000324	0	0.0766	0.83	193.155	171600	4	rock
3NEgsdTwk3tIjt6x4d2VzE	0.715	0.217	5	-10.499	1	0.0319	0.822	0	0.102	0.509	119.902	130497	3	rock
0Oqc0kKFsQ6MhFOLBNZIGX	0.641	0.559	7	-11.132	0	0.0355	0.404	0.00402	0.0937	0.523	144.982	202193	4	rock
5Pas52Qp1b32Ol7TKHkELm	0.793	0.0733	0	-22.647	1	0.0932	0.994	0.931	0.0886	0.745	107.982	198611	3	rock
64UioB4Nmwgn2f4cbIpAkl	0.752	0.684	0	-7.599	1	0.15	0.0994	0	0.0897	0.539	141.075	176440	4	rock
5dulYd9AKIprMoF837OTDb	0.438	0.812	0	-3.7	1	0.0377	0.499	0.768	0.0444	0.465	95.613	168027	4	rock
03eJ2DclFWXYU8GWgANdmZ	0.8	0.526	8	-5.153	1	0.0716	0.334	0.00174	0.0571	0.746	129.874	150475	4	rock
6Pur3hWy6Nzc27ilmsp5HA	0.714	0.735	4	-7.125	0	0.0306	0.176	0.000622	0.115	0.68	123.57	222227	4	rock
70Z9t1qhytWtG4cCmmi7mU	0.504	0.911	2	-2.97	1	0.0738	0.00512	0.0123	0.355	0.671	106.244	179760	4	rock
7snQQk1zcKl8gZ92AnueZW	0.446	0.952	6	-5.321	1	0.0523	0.0901	0.0857	0.112	0.624	125.303	356067	4	rock
09ZLthJQ2SCYKMsrsDPcfw	0.481	0.698	9	-6.731	0	0.0371	0.596	0.877	0.118	0.371	91.176	157623	4	rock
3ZOEytgrvLwQaqXreDs2Jx	0.618	0.938	9	-3.442	1	0.0456	0.0179	0	0.167	0.875	91.455	269000	4	rock
2N3U8uTYhjX2KwGT0pf5x0	0.394	0.661	4	-8.684	1	0.192	0.00996	0	0.343	0.335	149.818	260987	4	rock
