id	name	artist	genres	followers	artist popularity	markets	album	release date	album popularity	duration	explicit	popularity
6lhOInTT4y6L4FobDF4pH3	Cello Sonata No. 1 in F Major, Op. 5 No. 1: III. Rondo. Allegro vivace - 2022 remix	Ludwig van Beethoven,Yegor Dyachkov,Jean Saulnier	german romanticism,early romantic era,classical,classical era	4548245,23,34	70,15,15	182	Beethoven: Intégrale des Sonates et Variations pour violoncelle et piano	2022-10-28	17	406306	False	6
1DnYymdTLf4gOSp7XhUnjJ	Cello Sonata No. 2 in G Minor, Op. 5 No. 2: I. Adagio sostenuto ed espressivo - 2022 remix	Ludwig van Beethoven,Yegor Dyachkov,Jean Saulnier	german romanticism,early romantic era,classical,classical era	4548245,23,34	70,15,15	182	Beethoven: Intégrale des Sonates et Variations pour violoncelle et piano	2022-10-28	17	308840	False	6
5dT6ssJHoPCHAqZYcj2IOH	Planet Zero	Shinedown	nu metal,post-grunge,alternative metal	3593702	69	181	Unstoppable - 2022 Rocks	2022-11-04	3	222738	False	0
2v1SwnL2qfT3veITl9ppjS	Nightfalls	Keith Urban	contemporary country,country,country road,australian country,australian pop	4909160	69	95	New Country Hits: October 2022	2022-11-02	8	220892	False	2
1ZcwnIxBIWCbHu9LzKpsd5	Do You Hear What I Hear?	Mary J. Blige,Jessie J	post-teen pop,hip pop,urban contemporary,pop,pop rap,r&b,neo soul,dance pop	3334474,10496983	69,70	95	Christmas Morning 2022	2022-10-28	12	259746	False	2
2Q74sn3fboR5b6ivf3YIfW	My Favorite Things	Mary J. Blige	hip pop,urban contemporary,r&b,neo soul,dance pop	3334474	69	95	Kerst Pop 2022	2022-10-30	15	231133	False	0
7Ab0WKCRAlYGo6rvUupln2	The First Noel	Mary J. Blige,The Clark Sisters	gospel,hip pop,urban contemporary,r&b,neo soul,dance pop	3334474,240116	69,40	95	Christmas Morning 2022	2022-10-28	12	264186	False	1
3x06jr0mGiaXoxH4PqexxM	No Body	Blake Shelton	oklahoma country,contemporary country,country,country road	6721052	69	182	Country - Best of 2022	2022-11-04	2	187640	False	1
2vQu7zUdEEmIsDHUnvm4wa	Do You Hear What I Hear?	Mary J. Blige,Jessie J	post-teen pop,hip pop,urban contemporary,pop,pop rap,r&b,neo soul,dance pop	3334474,10496983	69,70	95	Weihnachten 2022	2022-11-08	2	259746	False	0
6yS8B86KVr7Eu6mUFUjWe1	Do You Hear What I Hear?	Mary J. Blige,Jessie J	post-teen pop,hip pop,urban contemporary,pop,pop rap,r&b,neo soul,dance pop	3334474,10496983	69,70	94	Christmas Hits 2022	2022-11-03	16	259746	False	2
5FlGEfS7fOLGI9zyQF1Otb	Undivided	Tim McGraw,Tyler Hubbard	contemporary country,country,country road	4178191,30224	69,64	182	Veterans Day Country 2022	2022-11-04	2	177200	False	0
4UeUxGLtRmy0Ld122kVZT7	Petit Papa Noël	Mary J. Blige	hip pop,urban contemporary,r&b,neo soul,dance pop	3334474	69	95	Christmas Morning 2022	2022-10-28	12	237626	False	0
4kwBdQ7bzRgOX0DdORcV6E	Horn Sonata in F Major, Op. 17 (arr. by Beethoven): II. Poco adagio, quasi andante - 2022 remix	Ludwig van Beethoven,Yegor Dyachkov,Jean Saulnier	german romanticism,early romantic era,classical,classical era	4548245,23,34	70,15,15	182	Beethoven: Intégrale des Sonates et Variations pour violoncelle et piano	2022-10-28	17	80293	False	6
7lLlRsNfxdKZpVLcIxs4aM	Yeah, I Like You	The Goo Goo Dolls	permanent wave,neo mellow,pop rock	2356685	69	181	Unstoppable - 2022 Rocks	2022-11-04	3	264466	False	0
3MoBWUW7dsylBnydLfqK68	Silent Night	Annie Lennox	singer-songwriter,pop rock,new wave pop,soft rock,mellow gold	1275626	69	95	Christmas 2022	2022-11-01	11	223040	False	1
4ZmpOT2HeeD6GcGSd9JcgE	Hell Of A View	Eric Church	contemporary country,country,country road	3559216	69	95	New Country Hits: October 2022	2022-11-02	8	175026	False	8
5TIO1UnANZO0Im8d57Ib5G	Marta tiene un marcapasos	Hombres G	latin rock,rock en espanol,mexican pop,spanish rock,latin pop,latin alternative	3373653	69	182	TikTok Viral Hits November 2022	2022-11-04	12	132853	False	0
47Gqqk9JKID05yzCbbotJc	Heart On Fire	Eric Church	contemporary country,country,country road	3559216	69	95	New Country Hits: October 2022	2022-11-02	8	258799	False	2
41UIzx7aovpNzM4ZEJBomF	I Put A Spell On You	Annie Lennox	singer-songwriter,pop rock,new wave pop,soft rock,mellow gold	1275626	69	94	Halloween Hits 2022	2022-10-28	33	212047	False	6
0XtCf7c9ErKtm8EqWkW1wx	Posada (Pilgrimage To Bethlehem)	Santana	classic rock,blues rock,mexican classic rock	2786297	69	183	Christmas Instrumentals 2022	2022-11-04	5	325720	False	0
5t7aDU2FvVh7fivYT7Yf0a	Keep My Name Outta Your Mouth	The Black Keys	rock,roots rock,modern blues rock,punk blues,alternative rock,garage rock,blues rock,modern rock	3757430	69	181	Unstoppable - 2022 Rocks	2022-11-04	3	189356	False	0
