id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
3yII7UwgLF6K5zW3xad3MP	0.642	0.695	7	-5.62	1	0.0281	0.000443	1.02e-05	0.0753	0.642	103.984	230960	4	pop
2KnuaZYoGzDoHiBTNYOTXG	0.895	0.389	7	-11.036	0	0.11	0.222	0.0346	0.105	0.549	110.023	196731	4	art pop
0Ddli2mf3BamEh9c82pEtV	0.562	0.371	7	-10.245	1	0.0331	0.807	8.3e-06	0.112	0.259	131.938	310000	4	v-pop
61Emqg95O9zo1GNOcyxq4Y	0.442	0.517	9	-7.807	1	0.0548	0.0699	0	0.114	0.2	79.867	193822	4	pop
1mAlS0axMpVgtuCKeNHtvo	0.806	0.449	2	-8.933	1	0.104	0.479	0	0.31	0.688	140.045	157714	4	chill r&b
1nwdfbj4UyRMpa9L98a4Yi	0.469	0.706	0	-7.441	1	0.0368	0.000963	0.449	0.35	0.28	161.002	198601	4	k-pop
658QJ4p8WcbT3O7iWLpO1D	0.812	0.974	8	-2.327	1	0.227	0.695	0.512	0.582	0.064	153.979	99748	4	drift phonk
52xJxFP6TqMuO4Yt0eOkMz	0.577	0.45	0	-8.516	0	0.0834	0.357	0	0.111	0.83	205.863	216120	4	
1SxqqC1aQ8JiLyfMrHYmnF	0.727	0.687	8	-6.57	1	0.0695	0.0107	0	0.16	0.416	130.018	181618	4	k-pop
68z9t6zihQgqzBGtexjTRG	0.673	0.639	10	-4.14	1	0.036	0.388	0	0.164	0.217	136.155	226403	4	danish pop
2vcDl2SLudnltyDEos3v6E	0.785	0.317	3	-8.138	0	0.0379	0.851	0	0.104	0.783	132.729	157780	4	gen z singer-songwriter
0z3ZZ2JKusRpapstADTxVf	0.767	0.715	4	-3.171	1	0.0493	0.23	0	0.139	0.584	75.968	192827	4	k-pop
3H7oAhHxkEkSf9iomv2mbG	0.515	0.323	6	-11.05	1	0.0429	0.318	0	0.106	0.188	147.972	158001	4	australian pop
1zoyteFQmeUUqyOl2Xznpy	0.568	0.809	11	-3.869	0	0.0517	0.000253	3.33e-05	0.151	0.709	155.029	196170	4	anime
25osmdhvjltPlN7gI2Javd	0.575	0.796	2	-5.152	1	0.115	0.0242	0	0.0842	0.492	99.836	225573	4	k-pop
4QqROKO0RtV5CvxE7g90uw	0.706	0.692	1	-4.084	0	0.0483	0.338	0	0.113	0.526	136.078	210893	4	k-pop
01K4zKU104LyJ8gMb7227B	0.606	0.377	0	-9.455	1	0.0275	0.817	0	0.154	0.446	101.96	258813	4	pop
3z6XUommYDWPHeFhmhhT6j	0.622	0.791	7	-6.106	1	0.0535	0.00188	3.72e-06	0.083	0.494	115.915	225960	4	pop
7qXfR1QXW37QSZULcyXksM	0.76	0.549	5	-7.702	1	0.041	0.614	0	0.0995	0.888	141.941	176600	3	mexican hip hop
1vjvZkoc8FZz26axllh6yD	0.264	0.658	2	-4.347	0	0.0404	0.809	1.45e-05	0.141	0.263	78.38	161000	4	trap boricua
1QjKY3PM0O4lGPwElK9z7I	0.835	0.923	7	-1.831	1	0.057	0.243	9.89e-06	0.112	0.962	160.068	154500	4	forro
452LVnTBjXYW3guqe3xiqI	0.672	0.762	6	-5.712	0	0.0632	0.458	0	0.0706	0.697	137.872	139529	4	arrocha
3m2S4eEc19o5krIEplPq2c	0.716	0.448	10	-10.384	1	0.0651	0.65	0	0.0627	0.766	80.674	167371	3	corrido
1a17gIb57XhPj2CMbqYABw	0.522	0.738	0	-4.48	0	0.117	0.685	0	0.652	0.608	129.685	161840	4	arrocha
5eBzDfTG7m8NUWf14YYQcU	0.657	0.715	1	-9.3	1	0.0333	0.0906	0	0.147	0.961	147.124	144545	3	corrido
48D3hmwzP6UiJa4jj6tR8y	0.726	0.664	9	-7.324	0	0.123	0.286	0.000174	0.0718	0.919	97.856	195172	4	mambo chileno
5rGJkSCM6ZDi69eZb7qoNx	0.612	0.625	9	-8.509	1	0.0368	0.4	0	0.0936	0.942	91.436	181434	4	corrido
2g6FVCA4sQZOv9LXIABsgr	0.369	0.132	0	-13.639	1	0.0413	0.954	4.69e-06	0.155	0.367	78.412	167173	4	korean city pop
10Lx5VspPQuPnJHZRWy3Fm	0.753	0.845	0	-6.702	0	0.0439	0.101	0.0205	0.0724	0.836	140.033	182607	4	viet remix
3kK4C2KU3SZkHhKN4BNbAn	0.754	0.736	1	-9.372	1	0.0735	0.434	0.00139	0.0781	0.956	186.103	167742	4	vietnamese hip hop
4ccNsYgnkxHmj1KcnhrLfD	0.669	0.781	4	-7.309	1	0.323	0.525	0.00112	0.373	0.71	85.04	191054	4	vietnamese hip hop
