id	name	popularity	available markets	release date	total tracks
4Uv7QjKaAq1mFO7aYzk4Xc	Aston Martin Truck	65	182	2022-10-21	1
5Wl4V0LZt5cl9JIrR3fqTA	Christmas Vibes 2022	15	95	2022-11-15	97
5UgaQfAOaOdfLxFClw8EWa	Stereotype	71	182	2022-04-08	13
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
4cAcTMGFjTBufC7Eu0FizU	Glitch Mode - The 2nd Album	66	183	2022-03-28	11
0xkKzTdvWzS8DA4hzyQijn	Let It Snow 2022	3	95	2022-11-17	85
4QQWpCEX4BxMXwRQmtkKY6	Hold Me Closer	76	182	2022-08-26	1
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
2LTqBgZUH4EkDcj8hdkNjK	CHARLIE	75	182	2022-10-07	12
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
4yP0hdKOZPNshxUOjY0cZj	After Hours	87	183	2020-03-20	14
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
79ONNoS4M9tfIA1mYLBYVX	Mr. Morale & The Big Steppers	83	182	2022-05-13	19
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
622NFw5Yk0OReMJ2XWcXUh	INDUSTRY BABY (feat. Jack Harlow)	73	182	2021-07-23	1
32G4vFNwLJQjpzkOoGEUUo	Miss You	82	182	2022-08-05	1
6SUNBtxid3iF70ordzeeLu	Capodanno 2022 Canzoni per bambini	0	81	2022-11-20	60
3FEQZNn34v3EdxrVKi9pZF	Betty (Get Money)	71	182	2022-06-10	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6SUNBtxid3iF70ordzeeLu	Capodanno 2022 Canzoni per bambini	0	81	2022-11-20	60
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
1bS4BIVXjMHLKiXACM7GT6	Bombsquad	36	182	2022-10-21	3
3HgoCO9wWuPcNhz8Ip4C46	‘The ReVe Festival 2022 - Feel My Rhythm’	65	183	2022-03-21	6
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
2hftqbjw8Ka5Z4TbawH8UP	Capodanno 2022 Dance Hits	0	95	2022-11-20	52
7Cj7913Nj7e4KPfdd4VNBi	2022	9	183	2022-02-16	1
6SUNBtxid3iF70ordzeeLu	Capodanno 2022 Canzoni per bambini	0	81	2022-11-20	60
6ZPs8TTb5GV6RD2M6FsrUl	Rise of Sly	32	183	2022-01-04	25
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
1rqx39AXQ1QOU2d7aVjaTW	2022	13	183	2022-01-21	1
5jbqrySvnk6rUvOZ6tbscd	IRIS	38	183	2022-01-21	13
15ecQWOUGMYCUt1YydvMPy	Tökkö Temples	12	183	2022-01-30	3
1KJTiYUkNvuW6PVDLgQPzc	Unspoken Words	35	183	2021-12-06	20
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
0aZH8VUhQfLHCibmMdJgoN	2022	6	183	2022-01-21	1
77pfq6Ub1QM0OUBUyuks9A	2022	5	183	2022-10-31	1
1pVDyIhEeVDBQjZYO67ytl	KIDZ BOP 2022	63	152	2021-10-22	48
7gmP56Qy57CeVrNyc5xB5d	2022	5	183	2022-01-07	1
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
4Ehs1EjGAgTy91t2isGPqE	2022	4	181	2022-05-27	1
2hftqbjw8Ka5Z4TbawH8UP	Capodanno 2022 Dance Hits	0	95	2022-11-20	52
5jtwM6EY4EeoANHwqyjxk6	2022	7	183	2022-07-22	1
5CeGjVxZn9dEBaGGjjBiF3	Mega Éxcitos 2022	5	178	2022-11-11	25
38yl5SWs2cfWXCHJPAy7oF	New Leaf	23	183	2020-07-04	10
3hgHmK71JKnsbmY46Q8WhP	the alternative 2022	7	182	2022-11-11	50
6TD3vA47sPGc5vdeOPUnc9	lofi ep	3	183	2022-01-28	5
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
6ELqUBxrTSFFjaTratUXMI	Dopehouse Mixtape	64	182	2022-08-25	18
